,Cast,Role Played,Year in Show
0,Johnny Galecki,Leonard Hofstadter,2006–2019
1,Jim Parsons,Sheldon Cooper,2006–2019
2,Kaley Cuoco,Penny,2007–2019
3,Simon Helberg,Howard Wolowitz,2007–2019
4,Kunal Nayyar,Raj Koothrappali,2007–2019
5,Melissa Rauch,Bernadette Rostenkowski,2009–2019
6,Mayim Bialik,Amy Farrah Fowler,2010–2019
7,Kevin Sussman,Stuart Bloom,2009–2019
8,Carol Ann Susi,Debbie Wolowitz,2007–2017
9,John Ross Bowie,Barry Kripke,2009–2019
10,Laura Spencer,Emily Sweeney,2014–2017
11,Wil Wheaton,Wil Wheaton,2009–2019
12,Brian George,Dr. V.M. Koothrappali,2007–2019
13,Christine Baranski,Dr. Beverly Hofstadter,2009–2019
14,Brian Posehn,Bert Kibbler,2013–2019
15,Laurie Metcalf,Mary Cooper,2007–2018
16,Joshua Malina,President Siebert,2011–2019
17,Ian Scott Rudolph,Captain Sweatpants,2009–2014
